video_id,frame_idx,detected,fps,knee_angle,elbow_angle,knee_visibility,elbow_visibility,shoulder_width_px,wrist_height_px,wrist_height_norm
62824_1,0,True,30.0,,49.805098306365814,0.36907607316970825,0.8987307548522949,23.588586670653388,276.3547897338867,10.22083988233823
62824_1,1,True,30.0,,49.06507017756396,0.39923423528671265,0.9046825766563416,30.10525594140925,275.17898082733154,10.177353194165756
62824_1,2,True,30.0,,48.64316949125218,0.42344072461128235,0.9103877544403076,29.55649071137254,250.9756350517273,9.282204888512977
62824_1,3,True,30.0,,48.70775390239622,0.42808517813682556,0.913857102394104,27.787523398399387,240.57390689849854,8.897502318110144
62824_1,4,True,30.0,,48.417402237274366,0.44381964206695557,0.9144753217697144,27.09166217344825,244.42380666732788,9.03988888263521
62824_1,5,True,30.0,,48.08594928599133,0.43047499656677246,0.9170354008674622,26.76085942099321,248.60019207000732,9.194350350550515
62824_1,6,True,30.0,,47.824140430993104,0.4192141890525818,0.9187920689582825,26.246358850048715,242.69087076187134,8.975797138710375
62824_1,7,True,30.0,,47.41711130745148,0.4025499224662781,0.9210238456726074,22.227488532647122,243.25248956680298,8.99656832160047
62824_1,8,True,30.0,,47.07811612577008,0.3986946642398834,0.9232282042503357,21.808224419431014,246.79502964019775,9.127587345738974
62824_1,9,True,30.0,,47.28085019584646,0.3920586109161377,0.9242981672286987,19.949797500833174,246.73047065734863,9.125199664934515
62824_1,10,True,30.0,,46.95596351869791,0.39178144931793213,0.9255051016807556,19.6539111137279,247.78278350830078,9.164118914953905
62824_1,11,True,30.0,,47.2897853755546,0.3800269365310669,0.9273581504821777,19.565029178884114,244.07146453857422,9.026857690068363
62824_1,12,True,30.0,,47.61205565479531,0.38416507840156555,0.9296566247940063,19.385386659650234,244.89274263381958,9.057232238374391
62824_1,13,True,30.0,,47.40530550253928,0.38766464591026306,0.9319674968719482,19.72741229234356,249.1499376296997,9.214682407566979
62824_1,14,True,30.0,,46.53130811532127,0.3956148624420166,0.9359174966812134,21.335175785543182,267.05323219299316,9.876826556665913
62824_1,15,True,30.0,,46.550166764913534,0.3873479664325714,0.9364745020866394,20.52431430235163,262.4364495277405,9.706077222310096
62824_1,16,True,30.0,,46.70605477125057,0.405275821685791,0.9389495849609375,20.079332854070728,259.2155456542969,9.586953747741154
62824_1,17,True,30.0,,46.166676205866565,0.42238250374794006,0.9403800368309021,23.448021808948777,248.61894607543945,9.195043957803927
62824_1,18,True,30.0,,44.573855516340004,0.4233759939670563,0.9394375085830688,26.069299297188962,238.95375967025757,8.83758200545115
62824_1,19,True,30.0,,44.78226592596068,0.45164310932159424,0.9397920370101929,25.064026755044285,236.2703561782837,8.73833770627478
